id,date,store_nbr,item_nbr,unit_sales
9951,1/2/2013,9,660312,2
11617,1/2/2013,11,660312,59
11621,1/2/2013,11,660321,11
16816,1/2/2013,18,660312,5
16819,1/2/2013,18,660321,11
21034,1/2/2013,26,660312,38
22764,1/2/2013,28,660312,25
22768,1/2/2013,28,660321,8
24174,1/2/2013,31,660312,21
24177,1/2/2013,31,660321,12
29699,1/2/2013,39,660312,7
29702,1/2/2013,39,660321,55
51229,1/3/2013,9,660312,20
51233,1/3/2013,9,660321,21
52824,1/3/2013,11,660312,49
52828,1/3/2013,11,660321,4
57830,1/3/2013,18,660321,18
61856,1/3/2013,26,660312,21
63422,1/3/2013,28,660312,30
63426,1/3/2013,28,660321,8
64757,1/3/2013,31,660312,20
70209,1/3/2013,39,660312,12
70212,1/3/2013,39,660321,6
91338,1/4/2013,9,660312,18
91342,1/4/2013,9,660321,9
92903,1/4/2013,11,660312,53
92907,1/4/2013,11,660321,10
97834,1/4/2013,18,660312,17
97837,1/4/2013,18,660321,9
101876,1/4/2013,26,660312,14
103436,1/4/2013,28,660312,22
103439,1/4/2013,28,660321,4
106689,1/4/2013,34,660312,18
110100,1/4/2013,39,660312,10
110103,1/4/2013,39,660321,45
131824,1/5/2013,9,660312,20
131827,1/5/2013,9,660321,10
133512,1/5/2013,11,660312,55
133516,1/5/2013,11,660321,10
138783,1/5/2013,18,660312,20
138786,1/5/2013,18,660321,9
143067,1/5/2013,26,660312,47
144902,1/5/2013,28,660312,35
144904,1/5/2013,28,660321,7
146367,1/5/2013,31,660312,19
148417,1/5/2013,34,660312,12
152021,1/5/2013,39,660312,7
152024,1/5/2013,39,660321,52
173983,1/6/2013,9,660312,20
173987,1/6/2013,9,660321,33
175639,1/6/2013,11,660312,52
175643,1/6/2013,11,660321,8
180819,1/6/2013,18,660312,20
184926,1/6/2013,26,660312,57
186792,1/6/2013,28,660312,47
186795,1/6/2013,28,660321,6
188287,1/6/2013,31,660312,1
188290,1/6/2013,31,660321,1
190413,1/6/2013,34,660312,4
190417,1/6/2013,34,660321,7
193968,1/6/2013,39,660312,19
193971,1/6/2013,39,660321,49
215630,1/7/2013,9,660312,19
215633,1/7/2013,9,660321,20
217148,1/7/2013,11,660312,48
217152,1/7/2013,11,660321,6
222037,1/7/2013,18,660312,15
222040,1/7/2013,18,660321,11
225910,1/7/2013,26,660312,38
227498,1/7/2013,28,660312,19
230822,1/7/2013,34,660312,2
230826,1/7/2013,34,660321,14
234119,1/7/2013,39,660312,12
234122,1/7/2013,39,660321,49
254916,1/8/2013,9,660312,19
254920,1/8/2013,9,660321,22
256475,1/8/2013,11,660312,54
256479,1/8/2013,11,660321,6
261300,1/8/2013,18,660312,13
261304,1/8/2013,18,660321,12
265173,1/8/2013,26,660312,31
266767,1/8/2013,28,660321,16
268098,1/8/2013,31,660312,20
270036,1/8/2013,34,660312,11
273312,1/8/2013,39,660312,12
273314,1/8/2013,39,660321,40
294180,1/9/2013,9,660312,19
294184,1/9/2013,9,660321,8
295686,1/9/2013,11,660312,35
295689,1/9/2013,11,660321,9
300467,1/9/2013,18,660312,15
300471,1/9/2013,18,660321,12
304314,1/9/2013,26,660312,35
305874,1/9/2013,28,660312,26
305877,1/9/2013,28,660321,4
307111,1/9/2013,31,660312,31
309013,1/9/2013,34,660312,3
312302,1/9/2013,39,660312,10
312304,1/9/2013,39,660321,42
332989,1/10/2013,9,660312,17
334480,1/10/2013,11,660312,55
339267,1/10/2013,18,660312,9
339271,1/10/2013,18,660321,9
343067,1/10/2013,26,660312,29
344643,1/10/2013,28,660312,26
344647,1/10/2013,28,660321,4
345905,1/10/2013,31,660312,21
347790,1/10/2013,34,660312,11
350986,1/10/2013,39,660312,11
350989,1/10/2013,39,660321,47
371588,1/11/2013,9,660312,17
373054,1/11/2013,11,660312,44
373058,1/11/2013,11,660321,6
377758,1/11/2013,18,660312,14
377762,1/11/2013,18,660321,4
381772,1/11/2013,26,660312,18
383274,1/11/2013,28,660312,13
383278,1/11/2013,28,660321,3
384515,1/11/2013,31,660312,20
386457,1/11/2013,34,660312,8
389750,1/11/2013,39,660312,9
389753,1/11/2013,39,660321,39
411174,1/12/2013,9,660312,20
411178,1/12/2013,9,660321,18
412829,1/12/2013,11,660312,42
412833,1/12/2013,11,660321,7
418031,1/12/2013,18,660312,18
418035,1/12/2013,18,660321,17
422311,1/12/2013,26,660312,43
424116,1/12/2013,28,660312,34
424119,1/12/2013,28,660321,5
425530,1/12/2013,31,660312,20
427606,1/12/2013,34,660312,21
431238,1/12/2013,39,660312,16
431241,1/12/2013,39,660321,38
453155,1/13/2013,9,660312,20
453159,1/13/2013,9,660321,13
454825,1/13/2013,11,660312,48
454829,1/13/2013,11,660321,10
459968,1/13/2013,18,660312,11
459972,1/13/2013,18,660321,9
464180,1/13/2013,26,660312,55
466096,1/13/2013,28,660312,16
466100,1/13/2013,28,660321,6
467606,1/13/2013,31,660312,21
469730,1/13/2013,34,660312,17
473207,1/13/2013,39,660312,24
473210,1/13/2013,39,660321,43
495058,1/14/2013,9,660312,13
495062,1/14/2013,9,660321,27
496566,1/14/2013,11,660312,50
496570,1/14/2013,11,660321,6
501404,1/14/2013,18,660312,15
501408,1/14/2013,18,660321,14
505385,1/14/2013,26,660312,35
507038,1/14/2013,28,660312,17
508393,1/14/2013,31,660312,24
510343,1/14/2013,34,660312,2
513599,1/14/2013,39,660312,8
513602,1/14/2013,39,660321,41
534409,1/15/2013,9,660312,20
534413,1/15/2013,9,660321,4
535957,1/15/2013,11,660312,51
535961,1/15/2013,11,660321,9
540809,1/15/2013,18,660312,15
540813,1/15/2013,18,660321,20
544770,1/15/2013,26,660312,56
546448,1/15/2013,28,660312,38
546451,1/15/2013,28,660321,9
547846,1/15/2013,31,660312,27
547849,1/15/2013,31,660321,5
549886,1/15/2013,34,660321,25
553207,1/15/2013,39,660312,14
553210,1/15/2013,39,660321,25
574384,1/16/2013,9,660312,19
574388,1/16/2013,9,660321,3
575873,1/16/2013,11,660312,47
575876,1/16/2013,11,660321,10
580622,1/16/2013,18,660312,16
580626,1/16/2013,18,660321,7
584634,1/16/2013,26,660312,38
586315,1/16/2013,28,660312,38
587669,1/16/2013,31,660312,17
589657,1/16/2013,34,660312,10
589660,1/16/2013,34,660321,51
592992,1/16/2013,39,660312,9
592995,1/16/2013,39,660321,18
614076,1/17/2013,9,660312,20
615559,1/17/2013,11,660312,46
615563,1/17/2013,11,660321,5
620338,1/17/2013,18,660312,14
620342,1/17/2013,18,660321,6
624225,1/17/2013,26,660312,24
625883,1/17/2013,28,660312,57
625887,1/17/2013,28,660321,5
627262,1/17/2013,31,660312,19
629262,1/17/2013,34,660312,5
629266,1/17/2013,34,660321,33
632491,1/17/2013,39,660312,14
632494,1/17/2013,39,660321,46
653536,1/18/2013,9,660312,16
653539,1/18/2013,9,660321,4
655030,1/18/2013,11,660312,47
655034,1/18/2013,11,660321,9
659726,1/18/2013,18,660312,22
663800,1/18/2013,26,660312,22
665385,1/18/2013,28,660312,38
666717,1/18/2013,31,660312,20
666720,1/18/2013,31,660321,5
668654,1/18/2013,34,660312,12
668658,1/18/2013,34,660321,4
672000,1/18/2013,39,660312,13
672003,1/18/2013,39,660321,59
693746,1/19/2013,9,660312,19
693750,1/19/2013,9,660321,20
695436,1/19/2013,11,660312,45
695440,1/19/2013,11,660321,10
700679,1/19/2013,18,660312,20
705226,1/19/2013,26,660312,66
707071,1/19/2013,28,660312,44
707073,1/19/2013,28,660321,4
708601,1/19/2013,31,660312,32
710789,1/19/2013,34,660312,24
710793,1/19/2013,34,660321,20
714507,1/19/2013,39,660312,14
714510,1/19/2013,39,660321,35
736831,1/20/2013,9,660312,20
736835,1/20/2013,9,660321,18
738529,1/20/2013,11,660312,52
738533,1/20/2013,11,660321,10
743677,1/20/2013,18,660312,30
743681,1/20/2013,18,660321,13
747853,1/20/2013,26,660312,59
749782,1/20/2013,28,660312,42
749785,1/20/2013,28,660321,12
751268,1/20/2013,31,660312,34
751271,1/20/2013,31,660321,8
753434,1/20/2013,34,660312,10
757048,1/20/2013,39,660312,15
757051,1/20/2013,39,660321,98
779002,1/21/2013,9,660312,20
779006,1/21/2013,9,660321,22
780588,1/21/2013,11,660312,45
780592,1/21/2013,11,660321,5
785542,1/21/2013,18,660312,20
785546,1/21/2013,18,660321,18
789608,1/21/2013,26,660312,36
791228,1/21/2013,28,660312,11
792603,1/21/2013,31,660312,34
794620,1/21/2013,34,660312,9
794623,1/21/2013,34,660321,11
797908,1/21/2013,39,660312,6
797911,1/21/2013,39,660321,30
818931,1/22/2013,9,660312,20
818935,1/22/2013,9,660321,11
820522,1/22/2013,11,660312,44
820526,1/22/2013,11,660321,10
825407,1/22/2013,18,660312,24
825411,1/22/2013,18,660321,16
829297,1/22/2013,26,660312,20
830888,1/22/2013,28,660312,33
830892,1/22/2013,28,660321,4
832265,1/22/2013,31,660312,34
832268,1/22/2013,31,660321,9
834306,1/22/2013,34,660312,10
834310,1/22/2013,34,660321,12
837674,1/22/2013,39,660312,6
837677,1/22/2013,39,660321,47
858566,1/23/2013,9,660312,20
858570,1/23/2013,9,660321,26
860057,1/23/2013,11,660312,45
860061,1/23/2013,11,660321,6
864810,1/23/2013,18,660312,20
864814,1/23/2013,18,660321,2
868871,1/23/2013,26,660312,35
870469,1/23/2013,28,660312,18
870472,1/23/2013,28,660321,4
871749,1/23/2013,31,660312,24
873623,1/23/2013,34,660321,1
876889,1/23/2013,39,660312,11
897631,1/24/2013,9,660312,14
897634,1/24/2013,9,660321,1
899096,1/24/2013,11,660312,42
899100,1/24/2013,11,660321,8
903853,1/24/2013,18,660312,18
903857,1/24/2013,18,660321,11
907736,1/24/2013,26,660312,25
909291,1/24/2013,28,660312,12
910594,1/24/2013,31,660312,20
912550,1/24/2013,34,660312,8
912554,1/24/2013,34,660321,33
915760,1/24/2013,39,660312,13
915763,1/24/2013,39,660321,37
936674,1/25/2013,9,660312,14
936678,1/25/2013,9,660321,2
938126,1/25/2013,11,660312,41
938130,1/25/2013,11,660321,6
942810,1/25/2013,18,660312,17
942814,1/25/2013,18,660321,13
946934,1/25/2013,26,660312,38
948504,1/25/2013,28,660312,11
949823,1/25/2013,31,660312,19
951768,1/25/2013,34,660312,15
951771,1/25/2013,34,660321,8
955176,1/25/2013,39,660312,7
955179,1/25/2013,39,660321,46
976939,1/26/2013,9,660312,19
976942,1/26/2013,9,660321,19
978630,1/26/2013,11,660312,54
978634,1/26/2013,11,660321,4
983902,1/26/2013,18,660312,13
983906,1/26/2013,18,660321,10
988317,1/26/2013,26,660312,31
990141,1/26/2013,28,660312,29
991611,1/26/2013,31,660312,40
993787,1/26/2013,34,660312,21
993791,1/26/2013,34,660321,27
997530,1/26/2013,39,660312,8
997533,1/26/2013,39,660321,49
1019793,1/27/2013,9,660312,20
1019797,1/27/2013,9,660321,23
1021427,1/27/2013,11,660312,54
1021431,1/27/2013,11,660321,9
1026568,1/27/2013,18,660312,15
1026572,1/27/2013,18,660321,15
1030753,1/27/2013,26,660312,57
1032668,1/27/2013,28,660312,36
1034163,1/27/2013,31,660312,19
1034166,1/27/2013,31,660321,1
1036265,1/27/2013,34,660312,14
1036269,1/27/2013,34,660321,11
1039815,1/27/2013,39,660312,22
1039818,1/27/2013,39,660321,50
1061760,1/28/2013,9,660312,16
1061764,1/28/2013,9,660321,20
1063315,1/28/2013,11,660312,57
1063319,1/28/2013,11,660321,6
1068214,1/28/2013,18,660312,15
1068218,1/28/2013,18,660321,9
1072280,1/28/2013,26,660312,39
1073861,1/28/2013,28,660312,22
1075184,1/28/2013,31,660312,21
1075186,1/28/2013,31,660321,2
1077240,1/28/2013,34,660312,6
1080531,1/28/2013,39,660312,15
1080534,1/28/2013,39,660321,54
1101441,1/29/2013,9,660312,19
1101444,1/29/2013,9,660321,21
1102971,1/29/2013,11,660312,55
1102975,1/29/2013,11,660321,9
1107861,1/29/2013,18,660312,17
1107865,1/29/2013,18,660321,11
1111816,1/29/2013,26,660312,23
1113402,1/29/2013,28,660312,25
1114764,1/29/2013,31,660312,20
1114767,1/29/2013,31,660321,2
1116812,1/29/2013,34,660312,4
1120112,1/29/2013,39,660312,15
1120115,1/29/2013,39,660321,38
1141221,1/30/2013,9,660312,20
1141225,1/30/2013,9,660321,22
1142722,1/30/2013,11,660312,49
1142726,1/30/2013,11,660321,13
1147509,1/30/2013,18,660312,20
1147513,1/30/2013,18,660321,9
1151632,1/30/2013,26,660312,35
1153281,1/30/2013,28,660312,18
1154603,1/30/2013,31,660312,21
1156541,1/30/2013,34,660312,6
1159822,1/30/2013,39,660312,13
1159825,1/30/2013,39,660321,38
1180844,1/31/2013,9,660312,18
1180848,1/31/2013,9,660321,17
1182370,1/31/2013,11,660312,52
1187243,1/31/2013,18,660312,20
1187247,1/31/2013,18,660321,12
1191295,1/31/2013,26,660312,20
1192928,1/31/2013,28,660312,46
1194302,1/31/2013,31,660312,20
1194305,1/31/2013,31,660321,3
1196388,1/31/2013,34,660312,8
1196391,1/31/2013,34,660321,28
1199771,1/31/2013,39,660312,8
